id_envio,centro_distribucion,transportista,tipo_servicio,dia_semana,distancia_km,peso_kg,volumen_m3,n_paradas,temperatura_ambiente_c,costo_combustible_usd,tiempo_transito_h,calificacion_cliente,retraso
102263,CD-Montevideo,TR-115,Económico,martes,165.58,2.18,0.0337,3,15.9,18.05,3.51,3.9,0
101889,CD-Montevideo,TR-026,Estándar,martes,25.97,5.25,0.0358,6,18.5,10.64,3.48,,1
100592,CD-Salto,TR-104,Estándar,lunes,14.28,2.91,0.0241,3,,5.15,1.78,2.7,0
101239,CD-Montevideo,TR-004,ESTÁNDAR,martes,17.84,6.7,0.0484,4,15.8,5.92,2.29,4.8,0
102799,CD-Maldonado,TR-070,Express,viernes,157.8,3.6,0.0273,1,18.1,13.58,4.6,3.7,0
102532,CD-Montevideo,TR-061,Express,lunes,34.23,2.54,0.0405,7,7.8,12.41,1.28,4.3,0
102643,CD-Salto,TR-047,Estándar,jueves,46.92,2.31,0.0388,6,13.6,15.77,2.61,4.0,0
102422,CD-Montevideo,TR-094,ESTÁNDAR,jueves,20.33,7.83,,6,24.2,8.65,3.01,,0
102554,CD-Canelones,TR-120,Económico,viernes,19.73,4.77,0.0471,9,26.6,16.23,4.45,4.5,0
100546,CD-Salto,TR-009,Estándar,viernes,19.39,4.57,0.0329,4,25.9,9.22,2.22,,0
103140,CD-Maldonado,TR-016,Express,lunes,25.15,14.8,0.0972,8,19.7,16.82,4.66,3.8,0
102752,CD-Salto,TR-051,Económico,martes,25.81,2.36,0.0259,10,11.1,14.18,3.62,3.9,0
102893,CD-Maldonado,TR-047,Estándar ,lunes,19.85,7.79,0.0607,8,14.1,11.6,1.08,3.5,0
103465,CD-Canelones,TR-044,Estándar ,miércoles,25.85,10.71,0.0686,13,23.6,11.93,4.95,4.4,0
100574,CD-Salto,TR-046,Estándar,lunes,207.48,11.9,0.0866,4,,22.04,6.27,4.1,0
103305,CD-Montevideo,TR-029,Estándar,lunes,29.13,1.6,0.0201,5,20.4,3.35,2.1,4.6,0
101274,CD-Montevideo,TR-077,Estándar,viernes,7.6,5.35,0.0354,8,11.3,7.59,1.53,4.3,0
100354,CD-Montevideo,TR-114,Estándar,lunes,39.55,2.87,0.0269,6,25.7,12.69,3.11,4.6,0
103290,CD-Canelones,TR-010,Económico,miércoles,31.08,5.99,0.0728,9,-99.0,16.49,2.86,3.6,0
102237,CD-Salto,TR-025,estándar,jueves,39.52,1.72,0.0496,4,,10.86,1.98,2.8,1
100136,CD-Montevideo,TR-041,Económico,martes,30.08,2.5,0.0423,12,18.1,16.86,5.25,,1
102940,CD-Canelones,TR-067,Estándar,viernes,33.14,3.48,0.0707,8,21.2,11.7,3.74,4.8,0
101697,CD-Maldonado,TR-110,Express,jueves,28.12,6.19,0.0473,6,20.4,10.53,4.16,4.6,0
100214,CD-Salto,TR-068,Estándar,lunes,270.36,20.45,0.1295,1,,21.42,5.64,4.6,0
102410,CD-Maldonado,TR-027,Estándar,miércoles,216.81,11.87,0.1005,4,22.9,16.43,4.92,,1
102618,CD-Montevideo,TR-074,ECONÓMICO,jueves,25.88,4.56,0.0366,6,26.4,11.18,2.49,,1
102242,CD-Salto,TR-105,Express,viernes,33.57,1.13,0.045,6,,6.33,2.31,3.5,0
103083,CD-Montevideo,TR-108,Estándar,miércoles,17.11,4.09,0.04,7,21.8,12.26,2.29,,0
100806,CD-Canelones,TR-020,Express,lunes,211.44,4.7,0.0427,3,26.3,12.14,5.43,4.2,0
101462,CD-Maldonado,TR-087,Estándar,martes,272.18,8.37,0.0603,4,17.6,23.92,6.99,1.6,0
100724,CD-Montevideo,TR-117,Estándar,lunes,19.91,2.27,0.0398,6,19.8,11.84,3.09,3.5,0
101945,CD-Salto,TR-058,Económico,miércoles,34.79,2.32,0.0266,6,,8.44,2.74,4.8,0
102681,CD-Maldonado,TR-030,Express,miércoles,206.96,7.48,0.0447,3,,19.5,4.67,3.9,0
102431,CD-Canelones,TR-118,Express,lunes,28.36,2.79,0.027,11,19.6,18.71,5.23,4.8,0
103159,CD-Montevideo,TR-014,Estándar,sábado,294.45,6.68,,2,15.6,21.61,6.82,4.1,0
100178,CD-Salto,TR-059,estándar,miércoles,24.38,5.45,0.0605,9,16.7,11.21,3.41,4.2,0
103300,CD-Salto,TR-066,Económico,jueves,42.52,8.76,0.0661,6,,12.23,2.05,4.3,0
102285,CD-Salto,TR-084,Estándar,martes,272.82,6.37,0.0455,2,24.6,19.76,7.3,2.9,0
100201,CD-Montevideo,TR-090,Estándar,martes,225.52,8.92,0.0613,3,15.3,14.67,5.32,,0
101244,CD-Salto,TR-039,Estándar,miércoles,26.26,6.94,0.0674,7,23.2,7.36,1.07,3.1,0
102736,CD-Montevideo,TR-055,EXPRESS,lunes,24.24,8.62,0.0761,5,18.2,7.78,3.33,3.7,0
103145,CD-Montevideo,TR-058,Estándar,viernes,303.81,3.77,0.042,3,12.8,15.63,5.87,2.5,0
100107,CD-Salto,TR-017,Estándar,jueves,25.54,3.94,0.0411,5,,11.35,2.51,,0
101883,CD-Montevideo,TR-093,Express,jueves,34.74,3.15,0.0389,4,21.2,12.74,0.2,3.6,1
101597,CD-Canelones,TR-099,Estándar,lunes,19.99,7.05,0.0613,5,19.2,10.09,1.34,,0
103085,CD-Montevideo,TR-075,Express,miércoles,229.52,4.71,0.0717,3,26.7,18.17,5.14,4.0,0
102926,CD-Canelones,TR-013,Estándar,jueves,26.21,11.98,0.0686,8,23.9,13.64,4.04,2.9,0
100350,CD-Canelones,TR-117,Económico,sábado,45.21,6.72,,6,17.3,11.18,2.98,3.5,0
101698,CD-Maldonado,TR-119,Estándar,sábado,31.92,5.22,0.0456,13,23.5,16.58,3.4,,1
103065,CD-Montevideo,TR-024,Económico,viernes,31.23,9.77,0.0648,4,14.7,9.86,2.92,4.8,0
100055,CD-Montevideo,TR-079,Express,miércoles,140.66,3.72,,2,21.5,12.87,1.86,,0
100886,CD-Canelones,TR-038,Estándar,lunes,309.23,7.29,0.0528,1,22.1,18.43,5.07,,0
100990,CD-Montevideo,TR-007,Económico,sábado,21.35,5.71,0.0623,8,17.1,17.52,1.95,3.5,1
102331,CD-Canelones,TR-101,Estándar,lunes,45.62,8.06,0.0711,6,18.2,5.12,3.45,4.4,0
102254,CD-Montevideo,TR-087,Estándar,jueves,28.74,25.25,0.1204,5,17.7,11.08,0.96,2.8,0
100968,CD-Montevideo,TR-087,Económico ,lunes,20.33,2.33,0.0367,8,16.3,13.25,2.99,4.4,0
101439,CD-Canelones,TR-116,Económico,viernes,218.79,3.06,0.0727,2,,21.33,4.22,3.1,0
103350,CD-Maldonado,TR-018,Estándar,jueves,19.8,1.58,0.0195,8,21.4,10.98,2.62,4.1,0
101442,CD-Salto,TR-049,Estándar,viernes,41.9,11.77,0.0752,12,,15.92,3.81,4.8,0
102325,CD-Canelones,TR-061,ESTÁNDAR,viernes,28.87,3.4,0.0487,5,16.5,11.77,4.0,3.9,0
102030,CD-Salto,TR-058,Estándar,viernes,28.79,2.13,0.0319,5,22.7,13.75,0.99,,1
103584,CD-Canelones,TR-029,Estándar,lunes,242.54,9.81,0.0628,6,21.2,23.3,6.9,,0
100856,CD-Montevideo,TR-016,Económico,viernes,26.48,11.29,0.0595,10,26.6,16.32,3.04,4.5,0
100476,CD-Maldonado,TR-119,Express,miércoles,279.65,3.22,0.0345,4,11.8,22.73,7.21,4.4,0
102014,CD-Canelones,TR-083,Estándar,lunes,192.83,3.19,0.0357,3,25.6,16.12,4.85,4.5,0
103167,CD-Canelones,TR-078,Estándar,jueves,209.68,14.69,0.0702,1,19.6,15.9,4.54,2.9,0
102934,CD-Montevideo,TR-083,ESTÁNDAR,martes,39.32,2.71,,8,16.6,11.33,3.66,,0
101703,CD-Canelones,TR-070,Estándar,jueves,48.68,5.64,0.036,8,17.7,11.11,3.95,3.7,0
102767,CD-Montevideo,TR-054,Express,martes,403.89,7.82,0.0572,0,15.8,27.09,7.91,,1
102701,CD-Salto,TR-038,Express,viernes,31.6,3.47,0.0244,10,22.4,14.97,3.85,2.9,0
102321,CD-Canelones,TR-084,Estándar,jueves,29.57,3.57,0.0258,9,20.3,10.42,3.16,4.2,0
100264,CD-Canelones,TR-058,Económico,viernes,258.19,0.97,0.0334,2,18.7,13.01,5.55,3.1,0
102173,CD-Salto,TR-063,Express,miércoles,307.87,6.84,0.0392,2,,15.46,6.02,4.8,0
101739,CD-Montevideo,TR-031,Estándar,viernes,30.56,1.63,0.0275,2,11.1,7.62,1.08,4.1,0
102874,CD-Maldonado,TR-060,Estándar,sábado,38.22,4.08,0.0341,3,8.7,10.76,1.78,4.7,0
102319,CD-Montevideo,TR-031,Estándar,viernes,27.78,7.75,0.0544,10,14.8,17.26,3.74,3.4,0
100911,CD-Maldonado,TR-013,Estándar,viernes,18.87,11.14,0.0785,11,14.3,19.41,4.78,3.8,0
102493,CD-Maldonado,TR-004,Estándar,martes,40.77,5.33,0.0592,14,25.4,17.24,6.27,3.3,0
103312,CD-Montevideo,TR-098,Express,viernes,38.48,2.81,0.0398,5,14.1,5.61,2.42,3.7,0
102309,CD-Maldonado,TR-001,Estándar,viernes,39.88,15.54,0.0791,11,24.1,14.77,3.58,3.4,0
100419,CD-Montevideo,TR-083,Económico,lunes,210.89,10.3,0.061,2,24.8,17.92,6.2,4.5,0
101056,CD-Montevideo,TR-033,Estándar,viernes,28.92,5.18,0.0833,13,-99.0,20.91,5.49,4.8,0
101629,CD-Maldonado,TR-076,Estándar,martes,26.01,6.58,0.0789,10,28.8,18.38,4.18,3.7,0
100953,CD-Montevideo,TR-084,Económico,miércoles,264.58,4.09,,2,18.4,19.5,4.12,3.4,1
101814,CD-Montevideo,TR-028,Económico,lunes,319.46,5.7,0.0533,1,12.9,24.42,6.46,2.7,0
100233,CD-Canelones,TR-051,Estándar,lunes,194.92,3.44,0.0248,5,12.0,16.35,5.15,3.7,0
103337,CD-Montevideo,TR-008,Express,lunes,23.35,4.87,0.0578,11,15.0,16.72,4.05,,0
100664,CD-Canelones,TR-063,Estándar,martes,248.95,2.33,0.0298,1,13.9,18.19,6.72,3.9,0
100716,CD-Maldonado,TR-073,Estándar,sábado,23.22,7.35,0.0571,5,5.0,10.47,2.23,,0
102212,CD-Montevideo,TR-032,Económico,miércoles,36.61,7.07,0.058,7,25.8,17.42,2.33,3.5,0
101155,CD-Montevideo,TR-083,estándar,lunes,243.78,1.89,0.019,1,20.6,16.57,6.83,3.5,0
101399,CD-Montevideo,TR-029,Express,lunes,34.61,1.77,0.0302,2,16.9,8.14,1.14,2.7,0
103485,CD-Canelones,TR-062,Estándar,jueves,41.92,8.89,0.0513,11,17.7,21.83,13.33,2.9,1
101092,CD-Canelones,TR-027,Económico,viernes,27.98,3.74,0.0374,9,16.0,15.13,3.23,4.5,0
101227,CD-Montevideo,TR-001,Estándar,viernes,51.99,2.11,0.0353,11,23.9,20.47,3.9,3.7,0
102201,CD-Canelones,TR-043,Estándar,viernes,27.83,2.49,0.0375,9,16.9,15.18,2.81,4.5,0
100168,CD-Montevideo,TR-027,Económico,miércoles,278.17,19.13,0.097,4,15.0,19.51,5.35,3.9,0
100149,CD-Salto,TR-014,Estándar,miércoles,34.37,5.26,0.0441,13,,18.29,9.08,3.6,1
103081,CD-Salto,TR-111,Económico,sábado,36.81,6.41,,12,,19.0,4.3,3.5,1
103422,CD-Montevideo,TR-066,Express,miércoles,231.98,1.4,0.0247,3,26.3,15.3,5.93,4.3,0
102999,CD-Montevideo,TR-029,económico,viernes,20.22,4.62,0.0456,5,17.6,10.04,1.01,3.8,0
100080,CD-Maldonado,TR-038,Express,martes,250.96,5.88,0.0368,1,9.0,20.08,4.07,4.1,0
101610,CD-Montevideo,TR-022,ESTÁNDAR,martes,40.17,4.29,0.0383,5,,15.68,1.59,4.6,0
102730,CD-Canelones,TR-056,estándar,lunes,22.74,7.24,0.0524,7,26.2,10.65,1.53,3.3,0
100957,CD-Canelones,TR-053,express,martes,30.67,5.64,0.0435,7,15.7,10.93,1.8,4.9,0
101685,CD-Canelones,TR-011,Express,lunes,18.68,7.48,0.0615,9,,14.02,3.03,4.9,0
101103,CD-Canelones,TR-010,Económico,lunes,22.26,10.43,0.0569,5,22.0,8.68,3.02,3.8,0
100443,CD-Canelones,TR-103,Express,miércoles,310.73,8.04,0.0524,5,19.3,23.49,6.96,3.4,0
100480,CD-Canelones,TR-035,Económico,lunes,20.31,12.76,0.0741,6,21.6,9.64,2.88,,0
102943,CD-Canelones,TR-074,Express,martes,286.43,2.81,0.0425,4,11.8,24.03,5.67,4.8,0
103077,CD-Maldonado,TR-078,Económico,jueves,31.62,1.56,0.0293,3,16.1,8.03,2.19,4.6,0
102477,CD-Canelones,TR-020,Estándar,lunes,24.76,5.39,0.0513,8,17.9,12.68,3.02,4.1,0
100275,CD-Montevideo,TR-046,express,viernes,30.36,2.57,0.0337,7,19.6,18.04,3.46,3.1,1
101822,CD-Maldonado,TR-045,Estándar,jueves,270.43,9.91,0.0598,4,15.9,28.22,7.03,2.3,0
100742,CD-Montevideo,TR-021,Express,lunes,41.14,12.09,0.0665,7,23.3,10.57,2.61,2.1,0
100980,CD-Montevideo,TR-034,Económico,martes,29.93,2.51,0.0292,4,27.1,2.83,2.27,3.8,1
101171,CD-Montevideo,TR-107,Express,sábado,278.98,4.81,0.0487,3,19.1,22.73,7.14,4.7,0
101528,CD-Canelones,TR-004,Express,lunes,26880.0,5.61,0.072,10,11.1,19.57,3.81,4.3,0
100645,CD-Montevideo,TR-036,Estándar,lunes,25.48,11.64,0.0889,8,27.9,15.9,0.96,,1
101382,CD-Maldonado,TR-043,estándar,jueves,196.79,1.82,,2,20.3,18.67,5.59,3.4,0
101247,CD-Montevideo,TR-074,Estándar,viernes,22.92,3.18,0.0455,11,5.5,12.89,4.3,4.3,0
100863,CD-Canelones,TR-016,económico,viernes,31.18,2.86,0.0286,7,19.0,14.82,3.18,4.3,0
100453,CD-Montevideo,TR-002,Estándar,jueves,23.23,9.99,0.0616,9,22.9,12.92,3.78,4.0,0
103479,CD-Salto,TR-035,Económico,viernes,32.98,3.17,,6,18.8,11.45,3.07,3.7,0
100463,CD-Montevideo,TR-118,estándar,jueves,25.05,3.49,0.0653,8,17.8,10.98,2.89,4.9,0
101146,CD-Montevideo,TR-005,Express,lunes,30.11,6.2,0.0654,9,29.4,17.47,1.1,4.9,0
101605,CD-Montevideo,TR-051,Económico,miércoles,35.4,2.32,0.0441,12,31.5,20.92,4.63,4.8,0
101561,CD-Salto,TR-094,Express,miércoles,20.61,7.1,0.0547,5,,7.41,1.35,3.9,0
101591,CD-Salto,TR-049,ESTÁNDAR,martes,34.08,4.37,0.0368,6,20.6,18.92,3.59,,0
102000,CD-Salto,TR-044,Estándar,jueves,250.1,12.19,0.0709,3,,24.43,4.75,3.5,0
100364,CD-Canelones,TR-008,Estándar,lunes,300.21,6.96,0.04,2,21.2,19.33,5.55,5.0,0
101071,CD-Salto,TR-077,Express,jueves,26.57,16.24,0.085,11,,16.47,3.08,5.0,0
103057,CD-Salto,TR-095,estándar,jueves,196.01,5.64,0.0718,4,,23.57,4.82,2.8,1
101652,CD-Montevideo,TR-034,Express,lunes,18.75,6.44,0.0417,6,23.6,9.45,3.63,4.1,0
101101,CD-Salto,TR-103,Express,martes,27.34,4.19,0.0378,9,15.1,9.94,4.12,3.5,0
100890,CD-Salto,TR-049,Estándar,sábado,22.38,2.61,0.0361,8,26.9,7.49,3.73,4.5,0
102772,CD-Salto,TR-055,Express,viernes,12.52,1.96,0.0239,5,,9.21,3.28,3.9,0
101231,CD-Canelones,TR-048,Económico,viernes,23.03,4.62,0.0547,8,12.3,13.42,3.21,,1
102139,CD-Salto,TR-035,Económico,martes,193.35,4.4,0.0397,1,,16.87,3.77,,0
101250,CD-Montevideo,TR-104,Express,sábado,150.94,4.0,0.0486,3,21.4,11.52,2.92,3.4,1
102704,CD-Maldonado,TR-016,Estándar,viernes,191.28,5.31,0.0339,3,18.4,13.39,5.14,4.6,0
103045,CD-Canelones,TR-103,Estándar,martes,290.8,1.33,0.0414,0,18.3,20.88,5.43,2.9,0
102479,CD-Canelones,TR-055,económico,miércoles,28.6,3.08,0.0374,10,26.1,14.07,2.68,3.3,0
102397,CD-Canelones,TR-069,Express,miércoles,274.61,2.44,0.0418,3,18.5,20.26,6.35,4.3,0
102785,CD-Salto,TR-070,Express,jueves,161.66,6.83,0.0531,2,,20.74,4.14,,0
102306,CD-Canelones,TR-090,Estándar,martes,22060.0,6.14,0.0457,7,21.1,10.32,1.79,4.1,0
102078,CD-Montevideo,TR-032,Estándar,lunes,323.83,5.56,0.0336,4,27.9,25.04,6.96,4.3,0
103595,CD-Canelones,TR-058,Express,martes,264.36,4.44,0.0528,4,14.6,15.26,6.41,4.5,0
101425,CD-Salto,TR-109,Estándar,sábado,34.1,5.58,0.047,6,,9.64,2.76,4.3,0
101214,CD-Maldonado,TR-098,económico,miércoles,181.3,3.61,0.0394,0,25.2,11.38,4.63,3.6,0
100087,CD-Maldonado,TR-103,Express,lunes,35.22,2.92,0.0313,6,20.1,13.39,3.15,3.8,0
100447,CD-Maldonado,TR-096,Express,martes,285.3,4.96,0.0321,3,18.7,22.68,4.82,4.4,0
100832,CD-Maldonado,TR-061,Estándar,miércoles,39.62,2.02,0.0399,7,,15.31,3.63,3.3,0
102974,CD-Canelones,TR-047,Económico,martes,48.68,8.84,0.0535,14,21.7,20.89,4.75,4.0,0
102367,CD-Montevideo,TR-066,Estándar,martes,23.56,5.07,0.0399,9,16.8,17.75,3.62,4.5,0
103084,CD-Montevideo,TR-010,Estándar,viernes,19.63,3.1,0.0328,2,18.9,7.84,1.54,4.0,0
103466,CD-Salto,TR-065,Económico,viernes,27.68,1.87,0.0194,8,22.1,8.09,2.26,4.3,0
100395,CD-Canelones,TR-008,Estándar,lunes,28.62,2.17,0.0576,10,23.0,11.7,3.54,3.7,1
100854,CD-Montevideo,TR-010,express,jueves,333.75,2.06,0.022,0,14.7,22.06,6.81,,0
100633,CD-Maldonado,TR-038,Estándar,miércoles,36.38,2.31,0.0244,6,23.9,6.56,3.5,4.4,0
102110,CD-Canelones,TR-084,Estándar,viernes,20.7,5.34,0.0493,4,18.3,14.96,2.85,4.7,0
900012,CD-Montevideo,TR-065,estándar,miércoles,36.02,4.54,0.0584,5,19.2,6.27,2.14,,0
103527,CD-Montevideo,TR-012,Económico,viernes,14.83,3.8,0.0533,5,15.5,10.05,2.41,4.0,0
103026,CD-Salto,TR-019,Estándar,jueves,30.47,5.93,0.057,8,,6.34,2.75,4.7,0
100895,CD-Maldonado,TR-051,Estándar,sábado,232.69,5.99,0.0723,0,33.1,16.88,3.48,,0
100012,CD-Salto,TR-036,Express,miércoles,39.95,4.76,0.0573,6,12.8,9.22,3.86,,0
101754,CD-Salto,TR-114,Express,martes,191.09,4.68,0.0386,0,,11.3,2.64,3.3,0
103265,CD-Canelones,TR-024,Express,jueves,34.17,8.15,0.0676,9,26.9,15.23,2.32,3.8,0
101990,CD-Montevideo,TR-030,ESTÁNDAR,viernes,20.8,4.86,0.036,8,15.4,9.06,2.49,4.5,0
101716,CD-Montevideo,TR-110,Express,miércoles,25.63,2.97,0.0385,10,13.7,16.59,2.74,3.5,0
103333,CD-Montevideo,TR-112,Express,miércoles,136.1,0.0,0.0251,3,17.8,12.61,4.13,4.6,0
101090,CD-Maldonado,TR-097,Express,viernes,35.06,8.49,0.0508,10,16.9,14.47,2.77,4.0,0
103335,CD-Salto,TR-040,Express,lunes,19.57,13.94,0.0822,10,26.1,13.56,3.78,4.6,0
101003,CD-Salto,TR-106,Estándar,viernes,24.19,1.82,0.032,7,20.5,14.92,1.16,3.4,0
100120,CD-Montevideo,TR-030,Express,viernes,28.81,6.92,0.0415,6,19.0,15.09,1.96,4.4,0
100229,CD-Salto,TR-004,EXPRESS,jueves,156.0,10.64,0.077,2,11.6,7.9,5.27,4.0,0
100714,CD-Salto,TR-113,Express,lunes,9.21,10.37,0.0663,9,,14.73,2.07,4.7,0
100452,CD-Salto,TR-070,Express ,jueves,285.83,3.83,0.0585,0,15.5,17.55,6.57,5.0,0
